analyte_id,display_name,sex_context,age_context,phase_context,alignment,value_low,value_high,value_median,source_unit,normalized_unit,unit_kind,band_kind,specimen,assay_method,source_id,source_locator,source_role,confidence,display_allowed,caveat
hydroxyprogesterone_17,17-hydroxyprogesterone,male,adult_20_79,not_applicable,morning_fasting,1.4,7.7,3.3,nmol/L,nmol/L,serum_concentration,central_95_interval,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,"Plasma interval, not serum; source samples were collected 8-10 AM after overnight fasting."
hydroxyprogesterone_17,17-hydroxyprogesterone,female,adult_20_79,not_cycle_timed,morning_fasting,0.27,6.7,1.3,nmol/L,nmol/L,serum_concentration,central_95_interval,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,Plasma interval without menstrual-cycle timing; source says female 17-OHP should be interpreted with care because cycle phase can influence it.
hydroxyprogesterone_17,17-hydroxyprogesterone,cycling_female_20_39_ocp,adult_20_39,oral_contraceptive_use,morning_fasting,0.18,4.2,0.97,nmol/L,nmol/L,serum_concentration,central_95_interval,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,Plasma interval for women using oral contraceptive pills; not a natural-cycle phase interval.
androstenedione,Androstenedione,male,adult_20_79,not_applicable,morning_fasting,1.6,8.4,3.4,nmol/L,nmol/L,serum_concentration,central_95_interval,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,"Plasma interval, not serum; source samples were collected 8-10 AM after overnight fasting."
androstenedione,Androstenedione,female,adult_20_79,not_cycle_timed,morning_fasting,0.93,7.6,3.1,nmol/L,nmol/L,serum_concentration,central_95_interval,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,Plasma interval without menstrual-cycle timing; source says androstenedione may be influenced by cycle phase.
androstenedione,Androstenedione,cycling_female_20_39_ocp,adult_20_39,oral_contraceptive_use,morning_fasting,1.2,7.6,3.2,nmol/L,nmol/L,serum_concentration,central_95_interval,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,Plasma interval for women using oral contraceptive pills; not a natural-cycle phase interval.
testosterone_total,Total testosterone,male,adult_20_79,not_applicable,morning_fasting,10.8,35.4,19.0,nmol/L,nmol/L,serum_concentration,central_95_interval,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,Plasma interval from one LC-MS/MS cohort; Travison remains the preferred harmonized male serum anchor.
testosterone_total,Total testosterone,female,adult_20_79,not_cycle_timed,morning_fasting,0.34,2.0,0.94,nmol/L,nmol/L,serum_concentration,central_95_interval,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,Plasma interval without menstrual-cycle timing; low female-range testosterone is method-sensitive.
testosterone_total,Total testosterone,cycling_female_20_39_ocp,adult_20_39,oral_contraceptive_use,morning_fasting,0.33,2.0,0.82,nmol/L,nmol/L,serum_concentration,central_95_interval,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,Plasma interval for women using oral contraceptive pills; low female-range testosterone is method-sensitive.
dht_total,DHT,male,adult_20_79,not_applicable,morning_fasting,0.91,3.4,1.7,nmol/L,nmol/L,serum_concentration,central_95_interval,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,"Plasma interval, not serum; DHT measurement requires low testosterone cross-reactivity."
dht_total,DHT,female,adult_20_79,not_cycle_timed,morning_fasting,,0.73,0.24,nmol/L,nmol/L,serum_concentration,upper_limit,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,Plasma upper-limit interval; several female DHT results were below quantitation limits in source context.
dht_total,DHT,cycling_female_20_39_ocp,adult_20_39,oral_contraceptive_use,morning_fasting,,0.84,0.34,nmol/L,nmol/L,serum_concentration,upper_limit,plasma,LC-MS/MS,clinbiochem_2019_vanderveen_five_steroids,"Table 3, PDF page 6",direct_value,medium,true,Plasma upper-limit interval for women using oral contraceptive pills; DHT measurement requires low testosterone cross-reactivity.
dheas,DHEA-S,male,adult_20_40,not_applicable,morning_sample,1.79,12.77,,umol/L,umol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jsbmb_2019_bae_lifespan_steroids_lcms,"Table 2, PDF page 21",direct_value,medium,true,Serum LC-MS/MS age-band interval; samples collected 7-10 AM; DHEA-S is strongly age-dependent.
dheas,DHEA-S,female,adult_20_40,mixed_cycle_or_oc_status,morning_sample,1.19,8.04,,umol/L,umol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jsbmb_2019_bae_lifespan_steroids_lcms,"Table 2, PDF page 21",direct_value,medium,true,Serum LC-MS/MS age-band interval; females using oral contraceptives are included in source calculation.
dheas,DHEA-S,male,adult_40_60,not_applicable,morning_sample,0.66,10.14,,umol/L,umol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jsbmb_2019_bae_lifespan_steroids_lcms,"Table 2, PDF page 21",direct_value,medium,true,Serum LC-MS/MS age-band interval; samples collected 7-10 AM; DHEA-S is strongly age-dependent.
dheas,DHEA-S,female,adult_40_60,mixed_cycle_or_oc_status,morning_sample,0.44,6.47,,umol/L,umol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jsbmb_2019_bae_lifespan_steroids_lcms,"Table 2, PDF page 21",direct_value,medium,true,Serum LC-MS/MS age-band interval; females using oral contraceptives are included in source calculation.
dheas,DHEA-S,male,adult_60_80,not_applicable,morning_sample,0.54,8.66,,umol/L,umol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jsbmb_2019_bae_lifespan_steroids_lcms,"Table 2, PDF page 21",direct_value,medium,true,Serum LC-MS/MS age-band interval; samples collected 7-10 AM; DHEA-S is strongly age-dependent.
dheas,DHEA-S,female,adult_60_80,mixed_cycle_or_oc_status,morning_sample,0.11,4.82,,umol/L,umol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jsbmb_2019_bae_lifespan_steroids_lcms,"Table 2, PDF page 21",direct_value,medium,true,Serum LC-MS/MS age-band interval; females using oral contraceptives are included in source calculation.
progesterone,Progesterone,male,adult_20_40,not_applicable,morning_sample,,0.65,,nmol/L,nmol/L,serum_concentration,upper_limit,serum,LC-MS/MS,jsbmb_2019_bae_lifespan_steroids_lcms,"Table 2, PDF page 21",direct_value,low,true,Broad serum upper-limit row; not a natural-cycle phase interval.
progesterone,Progesterone,female,adult_20_40,mixed_cycle_or_oc_status,morning_sample,,61.61,,nmol/L,nmol/L,serum_concentration,upper_limit,serum,LC-MS/MS,jsbmb_2019_bae_lifespan_steroids_lcms,"Table 2, PDF page 21",direct_value,low,true,"Broad mixed-cycle serum upper-limit row; do not use as follicular, ovulatory, or luteal phase interval."
progesterone,Progesterone,male,adult_40_60,not_applicable,morning_sample,,0.73,,nmol/L,nmol/L,serum_concentration,upper_limit,serum,LC-MS/MS,jsbmb_2019_bae_lifespan_steroids_lcms,"Table 2, PDF page 21",direct_value,low,true,Broad serum upper-limit row; not a natural-cycle phase interval.
progesterone,Progesterone,female,adult_40_60,mixed_cycle_or_oc_status,morning_sample,,44.2,,nmol/L,nmol/L,serum_concentration,upper_limit,serum,LC-MS/MS,jsbmb_2019_bae_lifespan_steroids_lcms,"Table 2, PDF page 21",direct_value,low,true,"Broad mixed-cycle serum upper-limit row; do not use as follicular, ovulatory, or luteal phase interval."
progesterone,Progesterone,male,adult_60_80,not_applicable,morning_sample,,0.71,,nmol/L,nmol/L,serum_concentration,upper_limit,serum,LC-MS/MS,jsbmb_2019_bae_lifespan_steroids_lcms,"Table 2, PDF page 21",direct_value,low,true,Broad serum upper-limit row; not a natural-cycle phase interval.
progesterone,Progesterone,female,adult_60_80,mixed_cycle_or_oc_status,morning_sample,,0.62,,nmol/L,nmol/L,serum_concentration,upper_limit,serum,LC-MS/MS,jsbmb_2019_bae_lifespan_steroids_lcms,"Table 2, PDF page 21",direct_value,low,true,Broad postmenopausal-age serum upper-limit row; HRT status must be considered.
estrone,Estrone,cycling_female,adult_24_7_to_43_9,cycle_days_1_to_7,reported_cycle_days_1_to_7,66.6,524,181,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jcem_2020_frederiksen_estrogen_lcms_supplement,"Supplementary Table 8, supplement PDF page 8",direct_value,medium,true,Natural-cycle serum day-bucket interval for women age 24.7-43.9; calendar-day grouping is not LH-peak aligned.
estrone,Estrone,cycling_female,adult_24_7_to_43_9,cycle_days_8_to_14,reported_cycle_days_8_to_14,132,1745,437,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jcem_2020_frederiksen_estrogen_lcms_supplement,"Supplementary Table 8, supplement PDF page 8",direct_value,medium,true,Natural-cycle serum day-bucket interval for women age 24.7-43.9; calendar-day grouping is not LH-peak aligned.
estrone,Estrone,cycling_female,adult_24_7_to_43_9,cycle_days_15_plus_all,reported_cycle_days_15_plus_all,87.3,1266,393,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jcem_2020_frederiksen_estrogen_lcms_supplement,"Supplementary Table 8, supplement PDF page 8",direct_value,medium,true,Natural-cycle serum day-bucket interval for women age 24.7-43.9; calendar-day grouping is not LH-peak aligned.
estrone,Estrone,cycling_female,adult_24_7_to_43_9,cycle_days_15_plus_ovulation_confirmed,reported_cycle_days_15_plus_progesterone_gt_10_nmol_l,222,1537,499,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jcem_2020_frederiksen_estrogen_lcms_supplement,"Supplementary Table 8, supplement PDF page 8",direct_value,medium,true,Natural-cycle day 15+ subgroup with ovulation confirmed by progesterone >10 nmol/L; not LH-peak aligned.
progesterone,Progesterone,cycling_female,adult_24_7_to_43_9,cycle_days_1_to_7,reported_cycle_days_1_to_7,0.23,7.78,0.43,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jcem_2020_frederiksen_estrogen_lcms_supplement,"Supplementary Table 8, supplement PDF page 8",direct_value,medium,true,Natural-cycle serum day-bucket interval for women age 24.7-43.9; calendar-day grouping is not LH-peak aligned.
progesterone,Progesterone,cycling_female,adult_24_7_to_43_9,cycle_days_8_to_14,reported_cycle_days_8_to_14,0.24,51.9,0.54,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jcem_2020_frederiksen_estrogen_lcms_supplement,"Supplementary Table 8, supplement PDF page 8",direct_value,medium,true,Natural-cycle serum day-bucket interval for women age 24.7-43.9; calendar-day grouping is not LH-peak aligned.
progesterone,Progesterone,cycling_female,adult_24_7_to_43_9,cycle_days_15_plus_all,reported_cycle_days_15_plus_all,0.28,83.1,27.9,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jcem_2020_frederiksen_estrogen_lcms_supplement,"Supplementary Table 8, supplement PDF page 8",direct_value,medium,true,Natural-cycle serum day-bucket interval for women age 24.7-43.9; calendar-day grouping is not LH-peak aligned.
progesterone,Progesterone,cycling_female,adult_24_7_to_43_9,cycle_days_15_plus_ovulation_confirmed,reported_cycle_days_15_plus_progesterone_gt_10_nmol_l,10.8,83.2,35.5,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jcem_2020_frederiksen_estrogen_lcms_supplement,"Supplementary Table 8, supplement PDF page 8",direct_value,medium,true,"Natural-cycle luteal subgroup; source confirms ovulation by progesterone >10 nmol/L, so this row should not be used as an independent ovulation rule."
hydroxyandrostenedione_11b,11-beta hydroxyandrostenedione,pediatric_all,age_0_5,pre_adrenarche,not_time_sensitive,0.18,2.04,0.61,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,ejendo_2024_adriaansen_pediatric_11oxygenated_androgens,"Table 3, PDF page 5",direct_value,medium,true,Pediatric serum interval for children age 0-5; Adriaansen found no significant sex difference for 11-oxygenated androgens.
hydroxyandrostenedione_11b,11-beta hydroxyandrostenedione,pediatric_prepubertal,boys_0_10_girls_0_9,prepubertal,not_time_sensitive,0.21,3.72,1.00,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,ejendo_2024_adriaansen_pediatric_11oxygenated_androgens,"Table 3, PDF page 5",direct_value,medium,true,Pediatric serum interval; prepubertal group combines boys 0-10 and girls 0-9 because no significant sex difference was observed.
hydroxyandrostenedione_11b,11-beta hydroxyandrostenedione,pediatric_pubertal,boys_11_17_girls_10_17,pubertal,not_time_sensitive,0.62,7.15,2.27,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,ejendo_2024_adriaansen_pediatric_11oxygenated_androgens,"Table 3, PDF page 5",direct_value,medium,true,Pediatric serum interval; pubertal group combines boys 11-17 and girls 10-17 because no significant sex difference was observed.
ketoandrostenedione_11,11-ketoandrostenedione,pediatric_all,age_0_5,pre_adrenarche,not_time_sensitive,,0.31,0.10,nmol/L,nmol/L,serum_concentration,central_95_interval_left_censored,serum,LC-MS/MS,ejendo_2024_adriaansen_pediatric_11oxygenated_androgens,"Table 3, PDF page 5",direct_value,medium,true,Pediatric serum interval; source lower reference limit was below LLOQ so value_low is left blank.
ketoandrostenedione_11,11-ketoandrostenedione,pediatric_prepubertal,boys_0_10_girls_0_9,prepubertal,not_time_sensitive,,0.49,0.15,nmol/L,nmol/L,serum_concentration,central_95_interval_left_censored,serum,LC-MS/MS,ejendo_2024_adriaansen_pediatric_11oxygenated_androgens,"Table 3, PDF page 5",direct_value,medium,true,Pediatric serum interval; source lower reference limit was below LLOQ so value_low is left blank.
ketoandrostenedione_11,11-ketoandrostenedione,pediatric_pubertal,boys_11_17_girls_10_17,pubertal,not_time_sensitive,0.10,0.91,0.40,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,ejendo_2024_adriaansen_pediatric_11oxygenated_androgens,"Table 3, PDF page 5",direct_value,medium,true,Pediatric serum interval; pubertal group combines boys 11-17 and girls 10-17 because no significant sex difference was observed.
hydroxytestosterone_11b,11-beta hydroxytestosterone,pediatric_all,age_0_5,pre_adrenarche,not_time_sensitive,,0.06,,nmol/L,nmol/L,serum_concentration,central_95_interval_left_censored,serum,LC-MS/MS,ejendo_2024_adriaansen_pediatric_11oxygenated_androgens,"Table 3, PDF page 5",direct_value,medium,true,Pediatric serum interval; source lower reference limit and median were below LLOQ so value_low and value_median are left blank.
hydroxytestosterone_11b,11-beta hydroxytestosterone,pediatric_prepubertal,boys_0_10_girls_0_9,prepubertal,not_time_sensitive,,0.15,0.04,nmol/L,nmol/L,serum_concentration,central_95_interval_left_censored,serum,LC-MS/MS,ejendo_2024_adriaansen_pediatric_11oxygenated_androgens,"Table 3, PDF page 5",direct_value,medium,true,Pediatric serum interval; source lower reference limit was below LLOQ so value_low is left blank.
hydroxytestosterone_11b,11-beta hydroxytestosterone,pediatric_pubertal,boys_11_17_girls_10_17,pubertal,not_time_sensitive,0.05,0.51,0.16,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,ejendo_2024_adriaansen_pediatric_11oxygenated_androgens,"Table 3, PDF page 5",direct_value,medium,true,Pediatric serum interval; pubertal group combines boys 11-17 and girls 10-17 because no significant sex difference was observed.
ketotestosterone_11,11-ketotestosterone,pediatric_all,age_0_5,pre_adrenarche,not_time_sensitive,,0.66,0.10,nmol/L,nmol/L,serum_concentration,central_95_interval_left_censored,serum,LC-MS/MS,ejendo_2024_adriaansen_pediatric_11oxygenated_androgens,"Table 3, PDF page 5",direct_value,medium,true,Pediatric serum interval; source lower reference limit was below LLOQ so value_low is left blank.
ketotestosterone_11,11-ketotestosterone,pediatric_prepubertal,boys_0_10_girls_0_9,prepubertal,not_time_sensitive,,0.99,0.27,nmol/L,nmol/L,serum_concentration,central_95_interval_left_censored,serum,LC-MS/MS,ejendo_2024_adriaansen_pediatric_11oxygenated_androgens,"Table 3, PDF page 5",direct_value,medium,true,Pediatric serum interval; source lower reference limit was below LLOQ so value_low is left blank.
ketotestosterone_11,11-ketotestosterone,pediatric_pubertal,boys_11_17_girls_10_17,pubertal,not_time_sensitive,0.30,2.35,0.99,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,ejendo_2024_adriaansen_pediatric_11oxygenated_androgens,"Table 3, PDF page 5",direct_value,medium,true,Pediatric serum interval; pubertal group combines boys 11-17 and girls 10-17 because no significant sex difference was observed.
ketotestosterone_11,11-ketotestosterone,male,young_adult_26_35,not_applicable,fasting_morning_sample,0.514,2.948,1.257,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jei_2026_pettersen_fit_futures_11oxygenated_androgens,"Table 3, PDF page 8",direct_value,medium,true,Fit Futures young-adult source-specific interval; 11-OA assays are not externally standardized across laboratories.
ketotestosterone_11,11-ketotestosterone,female,young_adult_26_35,mixed_contraceptive_status,fasting_morning_sample,0.393,2.878,1.074,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jei_2026_pettersen_fit_futures_11oxygenated_androgens,"Table 3, PDF page 8",direct_value,medium,true,Fit Futures female interval includes CHC gestagen-only and no contraceptive groups; CHC lowered mean 11KT in source Table 4.
hydroxytestosterone_11b,11-beta hydroxytestosterone,male,young_adult_26_35,not_applicable,fasting_morning_sample,0.222,1.283,0.555,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jei_2026_pettersen_fit_futures_11oxygenated_androgens,"Table 3, PDF page 8",direct_value,medium,true,Fit Futures young-adult source-specific interval; 11-OA assays are not externally standardized across laboratories.
hydroxytestosterone_11b,11-beta hydroxytestosterone,female,young_adult_26_35,mixed_contraceptive_status,fasting_morning_sample,0.168,1.131,0.474,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jei_2026_pettersen_fit_futures_11oxygenated_androgens,"Table 3, PDF page 8",direct_value,medium,true,Fit Futures female interval includes CHC gestagen-only and no contraceptive groups; CHC lowered mean 11OHT in source Table 4.
ketoandrostenedione_11,11-ketoandrostenedione,male,young_adult_26_35,not_applicable,fasting_morning_sample,0.303,1.531,0.648,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jei_2026_pettersen_fit_futures_11oxygenated_androgens,"Table 3, PDF page 8",direct_value,medium,true,Fit Futures young-adult source-specific interval; 11-OA assays are not externally standardized across laboratories.
ketoandrostenedione_11,11-ketoandrostenedione,female,young_adult_26_35,mixed_contraceptive_status,fasting_morning_sample,0.192,1.293,0.552,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jei_2026_pettersen_fit_futures_11oxygenated_androgens,"Table 3, PDF page 8",direct_value,medium,true,Fit Futures female interval includes CHC gestagen-only and no contraceptive groups; CHC lowered mean 11KA4 in source Table 4.
hydroxyandrostenedione_11b,11-beta hydroxyandrostenedione,male,young_adult_26_35,not_applicable,fasting_morning_sample,2.028,11.412,5.488,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jei_2026_pettersen_fit_futures_11oxygenated_androgens,"Table 3, PDF page 8",direct_value,medium,true,Fit Futures young-adult source-specific interval; 11-OA assays are not externally standardized across laboratories.
hydroxyandrostenedione_11b,11-beta hydroxyandrostenedione,female,young_adult_26_35,mixed_contraceptive_status,fasting_morning_sample,1.504,9.423,4.311,nmol/L,nmol/L,serum_concentration,central_95_interval,serum,LC-MS/MS,jei_2026_pettersen_fit_futures_11oxygenated_androgens,"Table 3, PDF page 8",direct_value,medium,true,Fit Futures female interval includes CHC gestagen-only and no contraceptive groups; CHC did not significantly lower mean 11OHA4 in source Table 4.
free_testosterone,Free testosterone,male,healthy_nonobese_18_39,not_applicable,morning_sample,184,749,364,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,equilibrium dialysis plus LC-MS/MS,jcem_2026_walravens_measured_free_testosterone,"Table 2, PDF page 25",direct_value,medium,true,Directly measured free testosterone in non-obese men; do not merge with calculated or analog free testosterone rows.
free_testosterone,Free testosterone,male,healthy_nonobese_18_29,not_applicable,morning_sample,239,877,406,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,equilibrium dialysis plus LC-MS/MS,jcem_2026_walravens_measured_free_testosterone,"Table 2, PDF page 25",direct_value,medium,true,Directly measured free testosterone in non-obese men; do not merge with calculated or analog free testosterone rows.
free_testosterone,Free testosterone,male,healthy_nonobese_30_39,not_applicable,morning_sample,173,652,340,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,equilibrium dialysis plus LC-MS/MS,jcem_2026_walravens_measured_free_testosterone,"Table 2, PDF page 25",direct_value,medium,true,Directly measured free testosterone in non-obese men; do not merge with calculated or analog free testosterone rows.
free_testosterone,Free testosterone,male,healthy_nonobese_40_49,not_applicable,morning_sample,147,499,281,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,equilibrium dialysis plus LC-MS/MS,jcem_2026_walravens_measured_free_testosterone,"Table 2, PDF page 25",direct_value,medium,true,Directly measured free testosterone in non-obese men; do not merge with calculated or analog free testosterone rows.
free_testosterone,Free testosterone,male,healthy_nonobese_50_59,not_applicable,morning_sample,147,444,246,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,equilibrium dialysis plus LC-MS/MS,jcem_2026_walravens_measured_free_testosterone,"Table 2, PDF page 25",direct_value,medium,true,Directly measured free testosterone in non-obese men; do not merge with calculated or analog free testosterone rows.
free_testosterone,Free testosterone,male,healthy_nonobese_60_69,not_applicable,morning_sample,104,402,218,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,equilibrium dialysis plus LC-MS/MS,jcem_2026_walravens_measured_free_testosterone,"Table 2, PDF page 25",direct_value,medium,true,Directly measured free testosterone in non-obese men; do not merge with calculated or analog free testosterone rows.
free_testosterone,Free testosterone,male,healthy_nonobese_70_79,not_applicable,morning_sample,76,309,187,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,equilibrium dialysis plus LC-MS/MS,jcem_2026_walravens_measured_free_testosterone,"Table 2, PDF page 25",direct_value,medium,true,Directly measured free testosterone in non-obese men; do not merge with calculated or analog free testosterone rows.
free_testosterone,Free testosterone,male,healthy_nonobese_80_plus,not_applicable,morning_sample,49,250,149,pmol/L,pmol/L,serum_concentration,central_95_interval,serum,equilibrium dialysis plus LC-MS/MS,jcem_2026_walravens_measured_free_testosterone,"Table 2, PDF page 25",direct_value,medium,true,Directly measured free testosterone in non-obese men; do not merge with calculated or analog free testosterone rows.
shbg,SHBG,male,adult_20,not_applicable,mixed_morning_sample,13.1,53.2,,nmol/L,nmol/L,binding_protein_concentration,reference_interval,serum,Roche ECLIA immunoassay,scandjclinlabinvest_2009_bjerner_male_shbg_norip,"Table II, PDF page 5",direct_value,medium,true,NORIP male serum immunoassay interval; descriptive reference limits are not decision thresholds.
shbg,SHBG,male,adult_30,not_applicable,mixed_morning_sample,13.5,57.4,,nmol/L,nmol/L,binding_protein_concentration,reference_interval,serum,Roche ECLIA immunoassay,scandjclinlabinvest_2009_bjerner_male_shbg_norip,"Table II, PDF page 5",direct_value,medium,true,NORIP male serum immunoassay interval; descriptive reference limits are not decision thresholds.
