source,crop,check,published,implied_or_other_source,ratio,status,notes
figshare_tsw vs wpsm,Acer saccharinum,cross_source_seeds_per_lb,"figshare 8,206/lb (TSW 55.277 g)","WPSM 1,780/lb (3,930/kg)",4.61,DISAGREE,"CORRECTION. An earlier audit row claimed figshare agreed with WPSM at ~7,900/lb; that reference value was asserted from memory and never checked, and is wrong - it appears to have been sugar maple (Acer saccharum, WPSM 7,030/lb). The real WPSM silver maple figure is 1,780/lb, so the two sources disagree 4.6x. WPSM range is 900-3,200/lb, and figshare sits far outside it. The figshare record is annotated half-samara and was collected in Debrecen HU; prefer WPSM for this species and treat the figshare woody-species rows with caution."
wpsm,all species,kg_lb_invariant,479 rows,ratio must equal 2.20462,1.00,PASS,"Every extracted value is a kg/lb pair validated against the 2.2046 lb-per-kg invariant at 2 percent tolerance. Zero failures across 479 rows. This is the extraction criterion itself, so a value can only enter the file if its two published unit forms agree - which also makes it safe to scan pdftotext -layout, whose mis-alignments simply fail the test instead of producing bad data."
wpsm,Pinus / conifers,unit_scale_trap,"Clean seeds (x1,000)/wt",raw figures are thousands,1000,FAIL,"The Pinus chapter tabulates counts in THOUSANDS; read naively they are 1000x low. Detected via the (x1,000) header and scaled. Validated exactly against jack pine 131,000/lb, eastern white pine 26,000/lb and loblolly 18,000/lb."
wpsm,extraction method,pdftotext_mode_coverage,-table only: 419 species / 68 genera,-table + -layout + -raw: 479 / 79,1.14,PASS,"No single pdftotext mode renders all WPSM tables. -table handles most; -layout adds row-major tables it mangles; -raw is the ONLY mode that linearises the column-major tables, which is how Picea (13 species) and Fraxinus (9) were recovered. All three modes are scanned and merged, with -table preferred on ties."
wpsm,Sciatopitys verticillata,source_spelling_error,Sciatopitys,Sciadopitys,,FAIL,"WPSM prints Sciatopitys; the accepted genus is Sciadopitys (Japanese umbrella pine). Left as printed in the CSV per the convention that extracted files reproduce their source, with the correction recorded here. Normalise on join."
wpsm,Liquidambar / Populus / Laburnum,coverage_gap,0 rows,present in source,,DISAGREE,"These express seed counts in prose forms that bind to a common name rather than a binomial (e.g. ""Scotch laburnum, 31,966 to 35,004/kg""). Attributing them would risk assigning a value to the wrong taxon, so they are dropped rather than guessed. 79 of 236 genera captured overall."
demir2011 vs kew_appendix,Cucumis melo,parameterisation_conflict,Demir 2011: KE 6.11 CW 2.59 CH 0.0329 CQ 0.000478,Kuo 1991 via Kew: KE 7.299 CW 3.707 CH 0.0367 CQ 0.000473,3.06,DISAGREE,Two published determinations for melon. At 5 pct MC and -20 C the Kew/Kuo set predicts about 490 years (matching the compendium published column) and the Demir set about 160 years - a 3x spread. Neither is wrong; show both or pick one explicitly and say which. Never mix constants across the two rows.
kew_1998_vol2,3199 species,storage_behaviour_extraction,3199 rows,2939 orthodox / 182 recalcitrant / 78 intermediate,,PASS,"Extracted from the OCR scan by matching the regular ""Storage behaviour: <class>"" entry format. Family column deliberately NOT recorded: page-header family tracking drifts and produced wrong attributions (Abroma as Solanaceae). Uncertain (?) and provisional (p) markers from the source are preserved as columns."
kew_1998_vol2,coverage,volume_split_gap,271 of 1021 index taxa matched,vol 1 families absent,,DISAGREE,"Vol 2 covers families I-Z only. Quercus (Fagaceae), Hevea (Euphorbiaceae), Dipterocarpus and Shorea (Dipterocarpaceae) return zero rows, as do all Gramineae, Cruciferae, Compositae, Cucurbitaceae and Chenopodiaceae. The curated storage_behaviour_flags.csv therefore still carries the critical oak/hickory/chestnut/beech/walnut safety flags. Volume 1 would replace them with sourced values."
demir2009_pepper,Capsicum annuum,secondary_value_confirmed,secondary summary: KE 7.767 CW 4.670,primary PDF: KE 7.767 CW 4.670,1.00,PASS,The pepper constants were carried for two rounds as unverified_secondary and excluded from the engine. The primary PDF confirms both figures exactly. Status raised to verified_pdf.
